0:0:0:0:0:0:0:1 - - [06/Nov/2020:17:16:54 +0700] "GET /test1/SachController?txttk=t%C3%A2y+du+k%C3%AD HTTP/1.1" 200 12084
0:0:0:0:0:0:0:1 - - [06/Nov/2020:17:16:58 +0700] "GET /test1/cart.jsp?id=s1%0A%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%09&tensach=T%C3%A2y%20Du%20K%C3%AD%0A%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%09&tacgia=ha1&gia=60000%0A%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20&hinhanh=http%3A%2F%2Fwww.minhkhai.vn%2Fhinhlon%2F5135272775327.JPG%0A%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Nov/2020:17:16:58 +0700] "GET /test1/viewcart.jsp HTTP/1.1" 200 8750
0:0:0:0:0:0:0:1 - - [06/Nov/2020:17:17:01 +0700] "GET /test1/SachController HTTP/1.1" 200 28488
0:0:0:0:0:0:0:1 - - [06/Nov/2020:17:17:03 +0700] "GET /test1/cart.jsp?id=s0%0A%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20&tensach=T%E1%BB%AB%20Ng%E1%BB%AF%20H%C3%A1n%20Vi%E1%BB%87t%0A%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%09&tacgia=ha1&gia=60000%0A%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20&hinhanh=http%3A%2F%2Fwww.minhkhai.vn%2Fhinhlon%2F8935087502012.jpg%0A%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Nov/2020:17:17:03 +0700] "GET /test1/viewcart.jsp HTTP/1.1" 200 8750
0:0:0:0:0:0:0:1 - - [06/Nov/2020:17:17:25 +0700] "GET /test1/cart.jsp?id=s2%0A%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20&tensach=%C3%94ng%20gi%C3%A0%20v%C3%A0%20bi%E1%BB%83n%20c%E1%BA%A3%0A%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%09&tacgia=ha1&gia=60000%0A%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20&hinhanh=http%3A%2F%2Fwww.minhkhai.vn%2Fhinhlon%2F8935095630134.jpg%0A%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Nov/2020:17:17:25 +0700] "GET /test1/viewcart.jsp HTTP/1.1" 200 10926
0:0:0:0:0:0:0:1 - - [06/Nov/2020:17:17:28 +0700] "GET /test1/ViewcartController HTTP/1.1" 200 19039
0:0:0:0:0:0:0:1 - - [06/Nov/2020:17:17:36 +0700] "GET /test1/Delete_book.jsp?id=s2%0A%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [06/Nov/2020:17:17:38 +0700] "GET /test1/Delete_book.jsp?id=s1%0A%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%09 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [06/Nov/2020:17:17:40 +0700] "GET /test1/ViewcartController HTTP/1.1" 200 14679
0:0:0:0:0:0:0:1 - - [06/Nov/2020:17:17:42 +0700] "GET /test1/SachController HTTP/1.1" 200 28488
0:0:0:0:0:0:0:1 - - [06/Nov/2020:17:17:46 +0700] "GET /test1/SachController?type=Loai1 HTTP/1.1" 200 17355
0:0:0:0:0:0:0:1 - - [06/Nov/2020:17:17:48 +0700] "GET /test1/cart.jsp?id=s0%0A%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20&tensach=T%E1%BB%AB%20Ng%E1%BB%AF%20H%C3%A1n%20Vi%E1%BB%87t%0A%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%09&tacgia=ha1&gia=60000&hinhanh=http%3A%2F%2Fwww.minhkhai.vn%2Fhinhlon%2F8935087502012.jpg%0A%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Nov/2020:17:17:48 +0700] "GET /test1/viewcart.jsp HTTP/1.1" 200 6571
0:0:0:0:0:0:0:1 - - [06/Nov/2020:17:17:54 +0700] "GET /test1/ViewcartController HTTP/1.1" 200 14678
0:0:0:0:0:0:0:1 - - [06/Nov/2020:17:17:56 +0700] "GET /test1/ViewcartController HTTP/1.1" 200 14678
0:0:0:0:0:0:0:1 - - [06/Nov/2020:17:17:59 +0700] "GET /test1/viewmycart.jsp HTTP/1.1" 500 2382
0:0:0:0:0:0:0:1 - - [06/Nov/2020:17:18:10 +0700] "GET /test1/SachController?type=Loai1 HTTP/1.1" 200 17355
0:0:0:0:0:0:0:1 - - [06/Nov/2020:17:18:28 +0700] "GET /test1/SachController HTTP/1.1" 200 28488
0:0:0:0:0:0:0:1 - - [06/Nov/2020:17:18:33 +0700] "GET /test1/SachController HTTP/1.1" 200 28487
0:0:0:0:0:0:0:1 - - [06/Nov/2020:17:18:35 +0700] "GET /test1/cart.jsp?id=s0%0A%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20&tensach=T%E1%BB%AB%20Ng%E1%BB%AF%20H%C3%A1n%20Vi%E1%BB%87t%0A%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%09&tacgia=ha1&gia=60000%0A%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20&hinhanh=http%3A%2F%2Fwww.minhkhai.vn%2Fhinhlon%2F8935087502012.jpg%0A%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Nov/2020:17:18:35 +0700] "GET /test1/viewcart.jsp HTTP/1.1" 200 6571
0:0:0:0:0:0:0:1 - - [06/Nov/2020:17:18:37 +0700] "GET /test1/cart.jsp?id=s1%0A%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20&tensach=T%C3%A2y%20Du%20K%C3%AD%0A%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%09&tacgia=ha1&gia=60000%0A%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20&hinhanh=http%3A%2F%2Fwww.minhkhai.vn%2Fhinhlon%2F5135272775327.JPG%0A%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Nov/2020:17:18:37 +0700] "GET /test1/viewcart.jsp HTTP/1.1" 200 8753
0:0:0:0:0:0:0:1 - - [06/Nov/2020:17:18:39 +0700] "GET /test1/cart.jsp?id=s2%0A%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20&tensach=%C3%94ng%20gi%C3%A0%20v%C3%A0%20bi%E1%BB%83n%20c%E1%BA%A3%0A%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%09&tacgia=ha1&gia=60000%0A%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20&hinhanh=http%3A%2F%2Fwww.minhkhai.vn%2Fhinhlon%2F8935095630134.jpg%0A%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Nov/2020:17:18:39 +0700] "GET /test1/viewcart.jsp HTTP/1.1" 200 10929
0:0:0:0:0:0:0:1 - - [06/Nov/2020:17:18:41 +0700] "GET /test1/ViewcartController HTTP/1.1" 200 19042
0:0:0:0:0:0:0:1 - - [06/Nov/2020:17:18:43 +0700] "GET /test1/Delete_book.jsp?id=s2%0A%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [06/Nov/2020:17:18:45 +0700] "GET /test1/Delete_book.jsp?id=s1%0A%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [06/Nov/2020:17:18:46 +0700] "GET /test1/ViewcartController HTTP/1.1" 200 14679
0:0:0:0:0:0:0:1 - - [06/Nov/2020:17:18:49 +0700] "GET /test1/hahaha.jsp?type=Loai1 HTTP/1.1" 500 2439
0:0:0:0:0:0:0:1 - - [06/Nov/2020:17:19:38 +0700] "GET /test1/SachController HTTP/1.1" 200 28500
